<monster=Abhorrent Eater><element=Slash><vuln=0><yield=0><imp=0><priority=0><enabled=1>
<monster=Abominable Snowman><element=Acid><vuln=1><yield=1><imp=1><priority=0><enabled=1>
<monster=Abyssal Shadow><element=Slash><vuln=1><yield=0><imp=0><priority=1><enabled=1>
<monster=Accursed Miner><element=Fire><vuln=0><yield=0><imp=0><priority=1><enabled=1>
<monster=Acidic Coral Golem><element=Lightning><vuln=1><yield=0><imp=0><priority=1><enabled=1>
<monster=Acidic Diamond Golem><element=Lightning><vuln=1><yield=0><imp=0><priority=2><enabled=1>
<monster=Acolyte of Breath><element=Bludgeon><vuln=1><yield=1><imp=1><priority=1><enabled=1>
<monster=Acolyte of Storms><element=Bludgeon><vuln=1><yield=1><imp=1><priority=1><enabled=1>
<monster=Acolyte of Wind><element=Bludgeon><vuln=1><yield=1><imp=1><priority=1><enabled=1>
<monster=Adept of Acid><element=Slash><vuln=1><yield=1><imp=1><priority=4><enabled=1>
<monster=Adept of Fire><element=Slash><vuln=1><yield=1><imp=1><priority=4><enabled=1>
<monster=Adept of Frost><element=Slash><vuln=1><yield=1><imp=1><priority=4><enabled=1>
<monster=Adept of Lightning><element=Slash><vuln=1><yield=1><imp=1><priority=4><enabled=1>
<monster=Adolescent Ash Gromnie><element=Slash><vuln=1><yield=1><imp=1><priority=1><enabled=1>
<monster=Adolescent Azure Gromnie><element=Slash><vuln=1><yield=1><imp=1><priority=1><enabled=1>
<monster=Adolescent Ivory Gromnie><element=Slash><vuln=1><yield=1><imp=1><priority=1><enabled=1>
<monster=Adolescent Rust Gromnie><element=Slash><vuln=1><yield=1><imp=1><priority=1><enabled=1>
<monster=Adroth Salson><element=Pierce><vuln=1><yield=1><imp=1><priority=1><enabled=1>
<monster=Adult Reedshark><element=Acid><vuln=1><yield=0><imp=0><priority=1><enabled=1>
<monster=Aerbax's Apprentice><element=Fire><vuln=1><yield=0><imp=0><priority=1><enabled=1>
<monster=Afesse Sclavus><element=Bludgeon><vuln=1><yield=1><imp=1><priority=0><enabled=1>
<monster=Affliction Wisp><element=Pierce><vuln=1><yield=0><imp=0><priority=1><enabled=1>
<monster=Alfrega the Reedshark><element=Acid><vuln=1><yield=0><imp=0><priority=1><enabled=1>
<monster=Altered Drudge><element=Fire><vuln=1><yield=0><imp=0><priority=1><enabled=1>
<monster=Altered Olthoi><element=Bludgeon><vuln=0><yield=0><imp=0><priority=1><enabled=1>
<monster=Amethyst Gromnie><element=Bludgeon><vuln=1><yield=1><imp=1><priority=0><enabled=1>
<monster=Amploth Lugian><element=Lightning><vuln=1><yield=0><imp=0><priority=1><enabled=1>
<monster=Amploth Raider><element=Lightning><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Ancient Coral Golem><element=Bludgeon><vuln=1><yield=1><imp=1><priority=0><enabled=1>
<monster=Ancient Counselor><element=Fire><vuln=1><yield=1><imp=1><priority=0><enabled=1>
<monster=Ancient Diamond Golem><element=Bludgeon><vuln=1><yield=1><imp=1><priority=1><enabled=1>
<monster=Ancient Mu-miyah><element=Fire><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Ancient Soul><element=Bludgeon><vuln=1><yield=1><imp=1><priority=0><enabled=1>
<monster=Ancient Steward><element=Bludgeon><vuln=1><yield=1><imp=1><priority=0><enabled=1>
<monster=Andrilos><element=Bludgeon><vuln=1><yield=1><imp=1><priority=0><enabled=0>
<monster=Anger><element=Slash><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Angry Snowman><element=Acid><vuln=0><yield=0><imp=0><priority=1><enabled=1>
<monster=Annihilator><element=Fire><vuln=1><yield=1><imp=1><priority=0><enabled=1>
<monster=Apozim><element=Lightning><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Aqueous Golem><element=Fire><vuln=1><yield=1><imp=1><priority=0><enabled=1>
<monster=Archfiend><element=Fire><vuln=1><yield=1><imp=1><priority=0><enabled=1>
<monster=Archmage Aigonne><element=Fire><vuln=1><yield=1><imp=1><priority=0><enabled=1>
<monster=Archon Greis><element=Pierce><vuln=1><yield=1><imp=1><priority=0><enabled=1>
<monster=Archon Traesis><element=Pierce><vuln=1><yield=1><imp=1><priority=0><enabled=1>
<monster=Arctic Mattekar><element=Slash><vuln=1><yield=1><imp=1><priority=0><enabled=1>
<monster=Armored Skeleton><element=Pierce><vuln=1><yield=1><imp=1><priority=1><enabled=1>
<monster=Armored Skeleton Lord><element=Bludgeon><vuln=1><yield=1><imp=1><priority=0><enabled=1>
<monster=Armored Tusker><element=Fire><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Ascendant Drudge><element=Fire><vuln=1><yield=0><imp=1><priority=2><enabled=1>
<monster=Ascendant Tumerok><element=Slash><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Ash Gromnie><element=Pierce><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Ashen Bones><element=Bludgeon><vuln=1><yield=1><imp=1><priority=1><enabled=1>
<monster=Ashen Moarsman><element=Slash><vuln=1><yield=1><imp=1><priority=0><enabled=1>
<monster=Asheron><element=Pierce><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Assailer><element=Fire><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Assassin><element=Slash><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Aste Sclavus><element=Cold><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Aste Sclavus Lord><element=Pierce><vuln=1><yield=1><imp=1><priority=1><enabled=1>
<monster=Astis Niffis><element=Pierce><vuln=1><yield=1><imp=1><priority=0><enabled=1>
<monster=Astyrrian><element=Acid><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Atavistic Fiun><element=Slash><vuln=1><yield=1><imp=1><priority=0><enabled=1>
<monster=Augmented Drudge><element=Fire><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Augmented Olthoi><element=Bludgeon><vuln=0><yield=0><imp=0><priority=1><enabled=1>
<monster=Augmented Tumerok><element=Slash><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Aun Elder Shaman><element=Acid><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Aun Hunter><element=Bludgeon><vuln=1><yield=1><imp=1><priority=0><enabled=1>
<monster=Aun Itealuan><element=Slash><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Aun Nualuan><element=Bludgeon><vuln=1><yield=1><imp=1><priority=0><enabled=1>
<monster=Aun Ralirea><element=Bludgeon><vuln=1><yield=1><imp=1><priority=0><enabled=1>
<monster=Aun Runner><element=Slash><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Aun Shaman><element=Slash><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Aun Warrior><element=Slash><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Aun Windreave><element=Slash><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Auroch Bull><element=Slash><vuln=1><yield=0><imp=1><priority=1><enabled=0>
<monster=Auroch Cow><element=Slash><vuln=1><yield=0><imp=1><priority=1><enabled=0>
<monster=Auroch Fire Bull><element=Slash><vuln=1><yield=0><imp=1><priority=1><enabled=0>
<monster=Auroch Fire Cow><element=Slash><vuln=1><yield=0><imp=1><priority=1><enabled=0>
<monster=Auroch Fire Yearling><element=Slash><vuln=1><yield=0><imp=1><priority=1><enabled=0>
<monster=Auroch Ravager><element=Bludgeon><vuln=1><yield=1><imp=1><priority=0><enabled=1>
<monster=Auroch Yearling><element=Slash><vuln=1><yield=0><imp=1><priority=1><enabled=0>
<monster=Avalanche><element=Fire><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Azael Zefir><element=Bludgeon><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Azure Gromnie><element=Pierce><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Babe the Blue Auroch><element=Slash><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Baby Black Rabbit><element=Pierce><vuln=1><yield=1><imp=1><priority=1><enabled=0>
<monster=Baby Brown Rabbit><element=Pierce><vuln=1><yield=1><imp=1><priority=1><enabled=0>
<monster=Baby Desert Rabbit><element=Pierce><vuln=1><yield=0><imp=1><priority=1><enabled=0>
<monster=Baby Thrungus><element=Pierce><vuln=0><yield=0><imp=0><priority=0><enabled=0>
<monster=Baby White Rabbit><element=Pierce><vuln=1><yield=0><imp=1><priority=1><enabled=0>
<monster=Badlands Siraluun><element=Slash><vuln=1><yield=1><imp=1><priority=0><enabled=1>
<monster=Bael'Zhabunny><element=Pierce><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Bael'Zharon><element=Pierce><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Banderling Aggressor><element=Lightning><vuln=1><yield=0><imp=0><priority=1><enabled=1>
<monster=Banderling Antagonist><element=Lightning><vuln=1><yield=0><imp=0><priority=1><enabled=1>
<monster=Banderling Bandit><element=Lightning><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Banderling Berserker><element=Lightning><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Banderling Breeder><element=Lightning><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Banderling Captain><element=Lightning><vuln=1><yield=0><imp=1><priority=1><enabled=1>
